"ESV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV191.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_mayombei"
"ESV192.1441","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Aestuariimicrobium","denovo_s_192"
"ESV193.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_ilealis"
"ESV194.1443","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV195.1447","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","denovo_g_170","denovo_s_195"
"ESV196.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV197.1453","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","denovo_g_197","denovo_s_197"
"ESV198.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV199.1451","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix","denovo_s_199"
"ESV200.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","denovo_s_200"
"ESV201.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_201"
"ESV202.1404","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","denovo_s_202"
"ESV203.1492","Bacteria","Planctomycetota","Pla3_lineage","denovo_o_203","denovo_f_203","denovo_g_203","denovo_s_203"
